timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-09,134.36,136.1,134.17,135.3,135.3,3981748,0.0000,1.0
2023-06-08,134.69,135.98,134.01,134.41,134.41,4128939,0.0000,1.0
2023-06-07,132.5,134.44,132.19,134.38,134.38,5772024,0.0000,1.0
2023-06-06,132.43,132.94,131.88,132.69,132.69,3297951,0.0000,1.0
2023-06-05,133.12,133.58,132.27,132.64,132.64,3993516,0.0000,1.0
2023-06-02,130.38,133.12,130.15,132.42,132.42,5375796,0.0000,1.0
2023-06-01,128.44,130.145,127.78,129.82,129.82,4136086,0.0000,1.0
2023-05-31,128.51,129.44,127.46,128.59,128.59,11086313,0.0000,1.0
2023-05-30,129.56,130.0699,128.26,129.48,129.48,3741050,0.0000,1.0
2023-05-26,127.06,129.66,126.81,128.89,128.89,5612570,0.0000,1.0
2023-05-25,125.61,127.23,125.01,126.76,126.76,4102854,0.0000,1.0
2023-05-24,127.82,127.9,125.47,125.68,125.68,3915505,0.0000,1.0
2023-05-23,127.24,129.09,127.13,128.18,128.18,4592280,0.0000,1.0
2023-05-22,127.5,128.19,127.15,127.5,127.5,2806770,0.0000,1.0
2023-05-19,126.79,128.29,126.55,127.26,127.26,4306657,0.0000,1.0
2023-05-18,125.3,126.51,125.1894,126.15,126.15,3797883,0.0000,1.0
2023-05-17,123.94,125.85,123.47,125.71,125.71,4515134,0.0000,1.0
2023-05-16,123.35,123.86,122.45,123.46,123.46,2749125,0.0000,1.0
2023-05-15,123.0,123.6881,122.34,123.36,123.36,2915725,0.0000,1.0
2023-05-12,121.41,122.86,121.11,122.84,122.84,4564825,0.0000,1.0
2023-05-11,122.02,122.24,120.55,120.9,120.9,3446452,0.0000,1.0
2023-05-10,121.99,122.49,121.1,122.02,122.02,4189222,0.0000,1.0
2023-05-09,121.9,121.97,120.66,121.17,121.17,4540047,1.6600,1.0
2023-05-08,123.76,123.92,122.55,123.4,121.732296670195,3663818,0.0000,1.0
2023-05-05,123.11,124.1,122.805,123.65,121.978918016771,4971936,0.0000,1.0
2023-05-04,123.03,123.52,121.7563,122.57,120.91351379956,4468237,0.0000,1.0
2023-05-03,125.46,125.57,123.26,123.45,121.78162093951,4554212,0.0000,1.0
2023-05-02,126.3,126.45,123.27,125.16,123.468510950094,4445283,0.0000,1.0
2023-05-01,126.35,126.75,126.06,126.09,124.385942359358,2724992,0.0000,1.0
2023-04-28,126.58,127.25,125.64,126.41,124.701617682976,5061247,0.0000,1.0
2023-04-27,126.37,127.02,125.455,126.97,125.254049499308,3204889,0.0000,1.0
2023-04-26,125.81,126.545,125.12,125.85,124.149185866645,4058800,0.0000,1.0
2023-04-25,124.9,126.19,124.76,125.89,124.188645282097,4275396,0.0000,1.0
2023-04-24,125.55,126.05,124.56,125.4,123.705267442807,4043892,0.0000,1.0
2023-04-21,126.0,126.7,125.27,125.73,124.030807620288,6725426,0.0000,1.0
2023-04-20,130.15,130.98,125.84,126.36,124.652293413661,9749618,0.0000,1.0
2023-04-19,126.5,126.98,125.3,126.32,124.612833998209,7014368,0.0000,1.0
2023-04-18,128.14,128.68,127.35,127.78,126.053102662216,3193787,0.0000,1.0
2023-04-17,128.3,128.72,126.8,127.82,126.092562077668,3657929,0.0000,1.0
2023-04-14,128.46,129.84,127.31,128.14,126.408237401286,4180614,0.0000,1.0
2023-04-13,128.01,128.39,126.0,127.9,126.171480908573,5621512,0.0000,1.0
2023-04-12,130.4,130.8857,128.17,128.54,126.802831555809,3957542,0.0000,1.0
2023-04-11,130.58,131.105,130.18,130.42,128.657424082065,3132430,0.0000,1.0
2023-04-10,129.83,131.08,129.24,131.03,129.259180167711,2614402,0.0000,1.0
2023-04-06,132.16,132.6,130.315,130.5,128.736342912969,3050581,0.0000,1.0
